scenario,scheme,result,depth,frame_words,reserved_words,growth_events,collections,frame_payload_words_copied,live_value_words_lifted,oom_live_bytes
sparse,fixed,ok,32,8448,131072,1,,,,
sparse,growable,ok,32,8448,16384,7,,,,
sparse,managed,ok,32,8448,,,2,16896,256,0
packed,fixed,ok,32,132,131072,1,,,,
packed,growable,ok,32,132,256,7,,,,
packed,managed,ok,32,132,,,2,264,256,0
empty-captures,fixed,ok,32,8448,131072,1,,,,
empty-captures,growable,ok,32,8448,16384,7,,,,
empty-captures,managed,ok,32,8448,,,2,16896,0,0
fixed-boundary,fixed,ok,127,131072,131072,1,,,,
fixed-boundary,growable,ok,127,131072,131072,8,,,,
fixed-boundary,managed,heap-rejected,127,130048,,,1,130048,508,1045464
past-fixed-boundary,fixed,capacity-rejected,128,131072,131072,1,,,,
past-fixed-boundary,growable,ok,128,132096,262144,9,,,,
past-fixed-boundary,managed,heap-rejected,127,130048,,,1,130048,508,1045464
packed-deep,fixed,ok,128,516,131072,1,,,,
packed-deep,growable,ok,128,516,1024,9,,,,
packed-deep,managed,ok,128,516,,,2,1032,1024,0
