profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
release,0,642622,343,69,4744830,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,original
release,0,991997,343,69,5171876,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,jobs
release,0,797332,343,69,4839752,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,baseline
release,0,617919,343,69,4120288,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,explicit
release,0,523258,343,69,3663871,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,recursive
release,0,411918,343,69,3017084,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,jobs
release,0,529334,343,69,3840714,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,baseline
release,0,481248,343,69,3668496,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,explicit
release,0,642245,343,69,4258044,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,recursive
release,0,545873,343,69,3528417,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,original
release,0,515246,343,69,3777254,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,baseline
release,0,446958,343,69,3446331,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,explicit
release,0,485082,343,69,3478334,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,recursive
release,0,424001,343,69,3350246,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,original
release,0,706752,343,69,4280501,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,jobs
release,0,604960,343,69,4457208,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,explicit
release,0,613083,343,69,4674373,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,recursive
release,0,537711,343,69,3775164,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,original
release,0,641871,343,69,4058546,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,jobs
release,0,980668,343,69,5039413,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,baseline
release,0,661501,343,69,4852462,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,recursive
release,0,521332,343,69,3868586,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,original
release,0,592835,343,69,3689419,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,jobs
