experiment,profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,0,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,0,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,0,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,0,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,1,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,1,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,1,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,1,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,2,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,2,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,2,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,2,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,3,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,3,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,3,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,3,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,4,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",177676,5,296155,4,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,782,False,"[276, 90, 14, 0]",223756,9,388315,4,lib/tests/core/fact.zy,inline_hint
