source,policy,product_cells,product_payload_words,eliminated_cells,expanded_variables
docs/evaluations/2026-09-14-memory-abstractions/raw.zy,boxed,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/raw.zy,direct,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/raw.zy,local,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/raw.zy,shared,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/raw.zy,shared-max-1,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/raw.zy,shared-max-4,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/fixed-view.zy,boxed,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/fixed-view.zy,direct,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/fixed-view.zy,local,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/fixed-view.zy,shared,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/fixed-view.zy,shared-max-1,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/fixed-view.zy,shared-max-4,12,25,0,0
docs/evaluations/2026-09-14-memory-abstractions/header-view.zy,boxed,15,37,0,0
docs/evaluations/2026-09-14-memory-abstractions/header-view.zy,direct,15,37,0,0
docs/evaluations/2026-09-14-memory-abstractions/header-view.zy,local,15,37,0,0
docs/evaluations/2026-09-14-memory-abstractions/header-view.zy,shared,15,37,0,0
docs/evaluations/2026-09-14-memory-abstractions/header-view.zy,shared-max-1,15,37,0,0
docs/evaluations/2026-09-14-memory-abstractions/header-view.zy,shared-max-4,15,37,0,0
