profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,0,lib/tests/core/fact.zy,original
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,0,lib/tests/core/fact.zy,jobs
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,0,lib/tests/core/fact.zy,explicit
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,0,lib/tests/core/fact.zy,recursive
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,1,lib/tests/core/fact.zy,jobs
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,1,lib/tests/core/fact.zy,explicit
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,1,lib/tests/core/fact.zy,recursive
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,1,lib/tests/core/fact.zy,original
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,2,lib/tests/core/fact.zy,explicit
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,2,lib/tests/core/fact.zy,recursive
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,2,lib/tests/core/fact.zy,original
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,2,lib/tests/core/fact.zy,jobs
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,3,lib/tests/core/fact.zy,recursive
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,3,lib/tests/core/fact.zy,original
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,3,lib/tests/core/fact.zy,jobs
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,3,lib/tests/core/fact.zy,explicit
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,4,lib/tests/core/fact.zy,original
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,4,lib/tests/core/fact.zy,jobs
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,4,lib/tests/core/fact.zy,explicit
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,4,lib/tests/core/fact.zy,recursive
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,5,lib/tests/core/fact.zy,jobs
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,5,lib/tests/core/fact.zy,explicit
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,5,lib/tests/core/fact.zy,recursive
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,5,lib/tests/core/fact.zy,original
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,6,lib/tests/core/fact.zy,explicit
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,6,lib/tests/core/fact.zy,recursive
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,6,lib/tests/core/fact.zy,original
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,6,lib/tests/core/fact.zy,jobs
debug,0,781,False,"[276, 90, 14, 0]",223244,9,387803,7,lib/tests/core/fact.zy,recursive
debug,0,1434,False,"[276, 90, 14, 0]",174204,2,331470,7,lib/tests/core/fact.zy,original
debug,0,1083,False,"[276, 90, 14, 0]",174308,2,298326,7,lib/tests/core/fact.zy,jobs
debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,7,lib/tests/core/fact.zy,explicit
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,0,lib/tests/core/fact.zy,original
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,0,lib/tests/core/fact.zy,jobs
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,0,lib/tests/core/fact.zy,explicit
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,0,lib/tests/core/fact.zy,recursive
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,1,lib/tests/core/fact.zy,jobs
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,1,lib/tests/core/fact.zy,explicit
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,1,lib/tests/core/fact.zy,recursive
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,1,lib/tests/core/fact.zy,original
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,2,lib/tests/core/fact.zy,explicit
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,2,lib/tests/core/fact.zy,recursive
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,2,lib/tests/core/fact.zy,original
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,2,lib/tests/core/fact.zy,jobs
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,3,lib/tests/core/fact.zy,recursive
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,3,lib/tests/core/fact.zy,original
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,3,lib/tests/core/fact.zy,jobs
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,3,lib/tests/core/fact.zy,explicit
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,4,lib/tests/core/fact.zy,original
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,4,lib/tests/core/fact.zy,jobs
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,4,lib/tests/core/fact.zy,explicit
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,4,lib/tests/core/fact.zy,recursive
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,5,lib/tests/core/fact.zy,jobs
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,5,lib/tests/core/fact.zy,explicit
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,5,lib/tests/core/fact.zy,recursive
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,5,lib/tests/core/fact.zy,original
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,6,lib/tests/core/fact.zy,explicit
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,6,lib/tests/core/fact.zy,recursive
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,6,lib/tests/core/fact.zy,original
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,6,lib/tests/core/fact.zy,jobs
debug,0,759,True,"[265, 89, 14, 13]",224489,9,388015,7,lib/tests/core/fact.zy,recursive
debug,0,1377,True,"[265, 89, 14, 13]",175129,2,329606,7,lib/tests/core/fact.zy,original
debug,0,1042,True,"[265, 89, 14, 13]",175489,2,297930,7,lib/tests/core/fact.zy,jobs
debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,7,lib/tests/core/fact.zy,explicit
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,0,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,0,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,0,lib/tests/core/pattern-alias.zy,recursive
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,1,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,1,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,1,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,2,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,2,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,2,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,2,lib/tests/core/pattern-alias.zy,jobs
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,3,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,3,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,3,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,3,lib/tests/core/pattern-alias.zy,explicit
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,4,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,4,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,4,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,4,lib/tests/core/pattern-alias.zy,recursive
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,5,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,5,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,5,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,5,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,6,lib/tests/core/pattern-alias.zy,explicit
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,6,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,6,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,6,lib/tests/core/pattern-alias.zy,jobs
debug,0,10,False,"[2, 0, 0, 0]",2056,0,2060,7,lib/tests/core/pattern-alias.zy,recursive
debug,0,12,False,"[2, 0, 0, 0]",1416,0,1532,7,lib/tests/core/pattern-alias.zy,original
debug,0,11,False,"[2, 0, 0, 0]",1736,0,1852,7,lib/tests/core/pattern-alias.zy,jobs
debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,7,lib/tests/core/pattern-alias.zy,explicit
debug,0,13,True,"[2, 0, 0, 1]",1824,0,1940,0,lib/tests/core/pattern-alias.zy,original
debug,0,12,True,"[2, 0, 0, 1]",2144,0,2260,0,lib/tests/core/pattern-alias.zy,jobs
debug,0,12,True,"[2, 0, 0, 1]",2976,0,2980,0,lib/tests/core/pattern-alias.zy,explicit
