experiment,profile,run,allocs,native,output_counts,peak_extra_bytes,reallocs,requested_bytes,round,source,variant
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,0,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,0,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,0,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,0,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,1,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,1,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,1,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,1,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,2,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,2,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,2,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,2,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,3,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,3,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,3,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,3,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,4,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,4,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,4,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,4,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,5,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,5,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,5,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,5,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,6,lib/tests/core/fact.zy,direct
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,6,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,6,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,6,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,7,lib/tests/core/fact.zy,trim_direct
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,7,lib/tests/core/fact.zy,baseline
selected,debug,0,782,False,"[276, 90, 14, 0]",180748,6,302299,7,lib/tests/core/fact.zy,trim
selected,debug,0,782,False,"[276, 90, 14, 0]",223756,9,388315,7,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,0,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,0,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,0,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,0,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,1,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,1,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,1,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,1,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,2,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,2,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,2,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,2,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,3,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,3,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,3,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,3,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,4,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,4,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,4,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,4,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,5,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,5,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,5,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,5,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,6,lib/tests/core/fact.zy,direct
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,6,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,6,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,6,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,7,lib/tests/core/fact.zy,trim_direct
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,7,lib/tests/core/fact.zy,baseline
selected,debug,0,760,True,"[265, 89, 14, 13]",181993,6,302511,7,lib/tests/core/fact.zy,trim
selected,debug,0,760,True,"[265, 89, 14, 13]",225001,9,388527,7,lib/tests/core/fact.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,0,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,trim
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,trim_direct
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,1,lib/tests/core/pattern-alias.zy,baseline
selected,debug,0,11,False,"[2, 0, 0, 0]",2568,0,2572,2,lib/tests/core/pattern-alias.zy,direct
