experiment,profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
free-list-hints,release,0,585121,343,96,4921502,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,590676,343,96,5094955,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,580045,343,96,4890959,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,615370,343,96,5156295,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,586081,343,96,5058462,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,552999,343,96,4952290,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,534586,343,96,4888703,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,530213,343,96,4851288,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,564004,343,96,5049122,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,inline_hint
free-list-hints,release,0,569704,343,96,5037500,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,526214,343,96,4964833,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,545418,343,96,4935419,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,527536,343,96,5004253,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,free_list_hint
free-list-hints,release,0,521119,343,96,4887006,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,baseline
free-list-hints,release,0,520165,343,96,4885292,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,free_list
free-list-hints,release,0,533712,343,96,4857252,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,inline_hint
