experiment,profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
selected,debug,0,230541,343,14,4931500,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,baseline
selected,debug,0,233877,343,14,4944458,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,trim
selected,debug,0,226374,343,14,4696375,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,direct
selected,debug,0,224207,343,14,4702877,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,trim_direct
selected,debug,0,219459,343,14,4706791,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,trim
selected,debug,0,224915,343,14,4713667,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,direct
selected,debug,0,233585,343,14,4821542,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,trim_direct
selected,debug,0,241709,343,14,4978665,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,baseline
selected,debug,0,226542,343,14,4794916,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,direct
selected,debug,0,226165,343,14,4754626,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,trim_direct
selected,debug,0,230168,343,14,5163666,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,baseline
selected,debug,0,227126,343,14,4906166,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,trim
selected,debug,0,240667,343,14,4900125,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,trim_direct
selected,debug,0,232500,343,14,5006457,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,baseline
selected,debug,0,225000,343,14,4740165,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,trim
selected,debug,0,248044,343,14,4864292,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,direct
selected,debug,0,256666,343,14,4779917,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,baseline
selected,debug,0,257834,343,14,4841045,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,trim
selected,debug,0,246834,343,14,4724332,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,direct
selected,debug,0,222627,343,14,4730458,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,trim_direct
selected,debug,0,224293,343,14,4801457,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,trim
selected,debug,0,228124,343,14,4810208,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,direct
selected,debug,0,228832,343,14,4738165,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,trim_direct
selected,debug,0,228543,343,14,4769459,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,baseline
selected,debug,0,221959,343,14,4702460,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,direct
selected,debug,0,236124,343,14,4908708,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,trim_direct
selected,debug,0,230334,343,14,4861499,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,baseline
selected,debug,0,216374,343,14,4750584,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,trim
selected,debug,0,230291,343,14,4857458,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,trim_direct
selected,debug,0,232542,343,14,4778959,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,baseline
selected,debug,0,225669,343,14,4813419,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,trim
selected,debug,0,233958,343,14,4900291,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,direct
selected,debug,0,224917,343,14,4787874,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,baseline
selected,debug,0,227790,343,14,4872709,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,trim
selected,debug,0,248627,343,14,5066458,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,direct
selected,debug,0,240585,343,14,4852249,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,trim_direct
selected,debug,0,249750,343,14,4951001,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,trim
selected,debug,0,221752,343,14,4652460,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,direct
selected,debug,0,230333,343,14,4759877,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,trim_direct
selected,debug,0,255291,343,14,4833166,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,baseline
selected,debug,0,236041,343,14,4697624,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,direct
selected,debug,0,250122,343,14,4838540,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,trim_direct
selected,debug,0,233460,343,14,5098875,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,baseline
selected,debug,0,228834,343,14,4754667,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,trim
selected,debug,0,244458,343,14,4753791,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,trim_direct
selected,debug,0,227458,343,14,4751208,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,baseline
selected,debug,0,217543,343,14,4774749,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,trim
selected,debug,0,224376,343,14,4703665,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,direct
selected,debug,0,229207,343,14,4855043,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,baseline
selected,debug,0,217251,343,14,4661459,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,trim
selected,debug,0,223752,343,14,4639836,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,direct
selected,debug,0,229874,343,14,4827918,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,trim_direct
selected,debug,0,230582,343,14,4720334,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,trim
selected,debug,0,227873,343,14,4693918,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,direct
selected,debug,0,226498,343,14,4736414,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,trim_direct
selected,debug,0,224210,343,14,4739375,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,baseline
selected,debug,0,229792,343,14,4812457,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,direct
selected,debug,0,229918,343,14,4847375,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,trim_direct
selected,debug,0,223207,343,14,4730290,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,baseline
selected,debug,0,220918,343,14,4733374,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,trim
selected,debug,0,232123,343,14,4895999,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,trim_direct
selected,debug,0,243292,343,14,5019540,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,baseline
selected,debug,0,233334,343,14,4832668,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,trim
selected,debug,0,246751,343,14,4860459,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,direct
selected,debug,0,228335,343,14,4980207,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,baseline
selected,debug,0,223669,343,14,4755459,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,trim
selected,debug,0,236541,343,14,4845587,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,direct
selected,debug,0,234043,343,14,4769333,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,trim_direct
selected,debug,0,244125,343,14,5272998,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,trim
selected,debug,0,238790,343,14,4881126,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,direct
selected,debug,0,224916,343,14,4752418,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,trim_direct
selected,debug,0,220667,343,14,4661999,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,baseline
selected,debug,0,226335,343,14,4776167,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,direct
selected,debug,0,221334,343,14,4738959,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,trim_direct
selected,debug,0,236127,343,14,4794079,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,baseline
selected,debug,0,216251,343,14,4830334,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,trim
selected,debug,0,234377,343,14,4868084,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,trim_direct
selected,debug,0,221664,343,14,4670750,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,baseline
selected,debug,0,223210,343,14,4824999,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,trim
selected,debug,0,223250,343,14,4742795,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,direct
selected,debug,0,240211,343,14,4790291,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,baseline
selected,debug,0,244874,343,14,4856668,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,trim
selected,debug,0,222960,343,14,4595499,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,direct
selected,debug,0,220419,343,14,4696210,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,trim_direct
selected,debug,0,224707,343,14,4774793,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,trim
