profile,run,drop_ns,input_nodes,iterations,lower_ns,native,output_counts,round,source,variant
debug,0,309915,343,14,5270709,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,original
debug,0,302669,343,14,5113502,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,jobs
debug,0,268917,343,14,5338250,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,explicit
debug,0,250878,343,14,5084335,False,"[276, 90, 14, 0]",0,lib/tests/core/fact.zy,recursive
debug,0,289790,343,14,5002335,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,jobs
debug,0,264499,343,14,5248833,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,explicit
debug,0,253085,343,14,5006749,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,recursive
debug,0,244791,343,14,4815082,False,"[276, 90, 14, 0]",1,lib/tests/core/fact.zy,original
debug,0,249836,343,14,5091043,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,explicit
debug,0,242211,343,14,4888043,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,recursive
debug,0,231874,343,14,4631248,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,original
debug,0,309126,343,14,4615709,False,"[276, 90, 14, 0]",2,lib/tests/core/fact.zy,jobs
debug,0,242166,343,14,4849711,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,recursive
debug,0,251499,343,14,4811000,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,original
debug,0,283040,343,14,4709667,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,jobs
debug,0,246167,343,14,5046208,False,"[276, 90, 14, 0]",3,lib/tests/core/fact.zy,explicit
debug,0,236958,343,14,4677084,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,original
debug,0,267626,343,14,4580873,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,jobs
debug,0,235207,343,14,5007998,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,explicit
debug,0,237333,343,14,4923084,False,"[276, 90, 14, 0]",4,lib/tests/core/fact.zy,recursive
debug,0,262666,343,14,4554376,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,jobs
debug,0,233458,343,14,4989417,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,explicit
debug,0,256333,343,14,5197041,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,recursive
debug,0,279791,343,14,5380876,False,"[276, 90, 14, 0]",5,lib/tests/core/fact.zy,original
debug,0,313625,343,14,5956707,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,explicit
debug,0,320086,343,14,5422874,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,recursive
debug,0,243251,343,14,4742998,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,original
debug,0,238417,343,14,4562872,False,"[276, 90, 14, 0]",6,lib/tests/core/fact.zy,jobs
debug,0,247667,343,14,5015333,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,recursive
debug,0,275585,343,14,4728165,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,original
debug,0,247165,343,14,4716542,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,jobs
debug,0,258374,343,14,5193541,False,"[276, 90, 14, 0]",7,lib/tests/core/fact.zy,explicit
debug,0,275001,343,14,4992960,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,original
debug,0,299667,343,14,5278002,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,jobs
debug,0,347248,343,14,6125626,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,explicit
debug,0,293292,343,14,5170666,False,"[276, 90, 14, 0]",8,lib/tests/core/fact.zy,recursive
debug,0,301210,343,14,5345584,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,jobs
debug,0,318582,343,14,6622040,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,explicit
debug,0,271876,343,14,5296085,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,recursive
debug,0,310957,343,14,5721044,False,"[276, 90, 14, 0]",9,lib/tests/core/fact.zy,original
debug,0,281874,343,14,5279373,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,explicit
debug,0,238793,343,14,4869875,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,recursive
debug,0,296957,343,14,5268957,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,original
debug,0,293126,343,14,5201543,False,"[276, 90, 14, 0]",10,lib/tests/core/fact.zy,jobs
debug,0,251502,343,14,5071998,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,recursive
debug,0,324373,343,14,5672628,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,original
debug,0,307917,343,14,5238042,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,jobs
debug,0,286542,343,14,5367959,False,"[276, 90, 14, 0]",11,lib/tests/core/fact.zy,explicit
debug,0,321791,343,14,5635917,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,original
debug,0,290210,343,14,5165915,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,jobs
debug,0,250374,343,14,5063125,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,explicit
debug,0,246293,343,14,5023627,False,"[276, 90, 14, 0]",12,lib/tests/core/fact.zy,recursive
debug,0,278459,343,14,4879249,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,jobs
debug,0,247291,343,14,5090583,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,explicit
debug,0,243249,343,14,5029499,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,recursive
debug,0,266794,343,14,4840373,False,"[276, 90, 14, 0]",13,lib/tests/core/fact.zy,original
debug,0,251998,343,14,5064749,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,explicit
debug,0,242543,343,14,5022040,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,recursive
debug,0,244917,343,14,4700540,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,original
debug,0,246748,343,14,4625750,False,"[276, 90, 14, 0]",14,lib/tests/core/fact.zy,jobs
debug,0,272874,343,14,5003749,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,recursive
debug,0,252581,343,14,4646501,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,original
debug,0,239539,343,14,4591206,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,jobs
debug,0,244918,343,14,5145209,False,"[276, 90, 14, 0]",15,lib/tests/core/fact.zy,explicit
debug,0,244958,343,14,4913209,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,original
debug,0,249374,343,14,4615248,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,jobs
debug,0,242707,343,14,5144998,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,explicit
debug,0,241504,343,14,4942584,False,"[276, 90, 14, 0]",16,lib/tests/core/fact.zy,recursive
debug,0,234040,343,14,4530044,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,jobs
debug,0,254711,343,14,5061420,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,explicit
debug,0,229668,343,14,4847501,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,recursive
debug,0,239459,343,14,4713917,False,"[276, 90, 14, 0]",17,lib/tests/core/fact.zy,original
debug,0,238459,343,14,5028791,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,explicit
debug,0,236628,343,14,5012877,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,recursive
debug,0,236122,343,14,4630502,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,original
debug,0,235752,343,14,4555375,False,"[276, 90, 14, 0]",18,lib/tests/core/fact.zy,jobs
debug,0,247003,343,14,4857167,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,recursive
debug,0,236791,343,14,4654750,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,original
debug,0,233332,343,14,4535291,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,jobs
debug,0,268837,343,14,5280584,False,"[276, 90, 14, 0]",19,lib/tests/core/fact.zy,explicit
debug,0,276207,343,14,5126460,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,original
debug,0,303831,343,14,5289001,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,jobs
debug,0,249833,343,14,5119833,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,explicit
debug,0,268792,343,14,5243291,False,"[276, 90, 14, 0]",20,lib/tests/core/fact.zy,recursive
debug,0,276582,343,14,5163997,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,jobs
debug,0,252916,343,14,5143710,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,explicit
debug,0,308749,343,14,5643459,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,recursive
debug,0,293669,343,14,5286873,False,"[276, 90, 14, 0]",21,lib/tests/core/fact.zy,original
debug,0,280126,343,14,5609749,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,explicit
debug,0,304584,343,14,5704958,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,recursive
debug,0,299624,343,14,4909922,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,original
debug,0,309209,343,14,4823458,False,"[276, 90, 14, 0]",22,lib/tests/core/fact.zy,jobs
debug,0,296792,343,14,5313666,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,recursive
debug,0,256585,343,14,4806378,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,original
debug,0,312668,343,14,5243334,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,jobs
debug,0,312085,343,14,5888290,False,"[276, 90, 14, 0]",23,lib/tests/core/fact.zy,explicit
debug,0,247916,343,14,4639958,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,original
debug,0,274666,343,14,4762624,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,jobs
debug,0,263624,343,14,5464419,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,explicit
debug,0,269333,343,14,5125538,False,"[276, 90, 14, 0]",24,lib/tests/core/fact.zy,recursive
debug,0,310001,343,14,5340622,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,jobs
debug,0,303667,343,14,5693042,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,explicit
debug,0,269791,343,14,5021207,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,recursive
debug,0,334750,343,14,5707125,False,"[276, 90, 14, 0]",25,lib/tests/core/fact.zy,original
debug,0,261541,343,14,5318833,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,explicit
debug,0,294833,343,14,5347292,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,recursive
debug,0,387831,343,14,5845999,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,original
debug,0,257500,343,14,4554833,False,"[276, 90, 14, 0]",26,lib/tests/core/fact.zy,jobs
debug,0,341458,343,14,6520334,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,recursive
debug,0,267209,343,14,5084959,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,original
debug,0,263541,343,14,4774290,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,jobs
debug,0,340374,343,14,6263417,False,"[276, 90, 14, 0]",27,lib/tests/core/fact.zy,explicit
debug,0,276583,343,14,4908375,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,original
debug,0,244834,343,14,4566999,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,jobs
debug,0,238708,343,14,4938791,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,explicit
debug,0,249833,343,14,4857794,False,"[276, 90, 14, 0]",28,lib/tests/core/fact.zy,recursive
debug,0,246125,343,14,4582167,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,jobs
debug,0,237209,343,14,4968250,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,explicit
debug,0,230960,343,14,4830250,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,recursive
debug,0,231376,343,14,4597626,False,"[276, 90, 14, 0]",29,lib/tests/core/fact.zy,original
debug,0,231210,343,14,4961664,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,explicit
debug,0,237917,343,14,4864584,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,recursive
debug,0,248791,343,14,4798917,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,original
debug,0,239749,343,14,4583707,False,"[276, 90, 14, 0]",30,lib/tests/core/fact.zy,jobs
debug,0,236499,343,14,4886292,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,recursive
debug,0,240044,343,14,4651789,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,original
debug,0,280378,343,14,4644624,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,jobs
debug,0,236167,343,14,5023249,False,"[276, 90, 14, 0]",31,lib/tests/core/fact.zy,explicit
debug,0,274333,343,15,5013545,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,original
debug,0,257875,343,15,4732373,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,jobs
debug,0,282291,343,15,5456501,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,explicit
debug,0,267039,343,15,5124834,True,"[265, 89, 14, 13]",0,lib/tests/core/fact.zy,recursive
debug,0,269251,343,15,4832335,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,jobs
debug,0,261792,343,15,5203835,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,explicit
debug,0,263833,343,15,5101792,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,recursive
debug,0,286042,343,15,4998333,True,"[265, 89, 14, 13]",1,lib/tests/core/fact.zy,original
debug,0,274707,343,15,5254083,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,explicit
debug,0,277208,343,15,5168875,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,recursive
debug,0,282043,343,15,5044500,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,original
debug,0,275705,343,15,4794835,True,"[265, 89, 14, 13]",2,lib/tests/core/fact.zy,jobs
debug,0,265669,343,15,5090999,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,recursive
debug,0,289751,343,15,4993253,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,original
debug,0,306082,343,15,4828917,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,jobs
debug,0,338041,343,15,5747835,True,"[265, 89, 14, 13]",3,lib/tests/core/fact.zy,explicit
debug,0,270664,343,15,4877167,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,original
debug,0,258668,343,15,4794751,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,jobs
debug,0,261791,343,15,5264000,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,explicit
debug,0,269709,343,15,5138500,True,"[265, 89, 14, 13]",4,lib/tests/core/fact.zy,recursive
debug,0,268625,343,15,4861710,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,jobs
debug,0,260708,343,15,5206957,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,explicit
debug,0,256502,343,15,5105998,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,recursive
debug,0,265916,343,15,4987333,True,"[265, 89, 14, 13]",5,lib/tests/core/fact.zy,original
debug,0,286086,343,15,5435417,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,explicit
debug,0,260376,343,15,5103459,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,recursive
debug,0,266918,343,15,4900918,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,original
debug,0,265832,343,15,4733582,True,"[265, 89, 14, 13]",6,lib/tests/core/fact.zy,jobs
debug,0,351583,343,15,5267876,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,recursive
debug,0,274166,343,15,5189790,True,"[265, 89, 14, 13]",7,lib/tests/core/fact.zy,original
